Database,Study design,WASH,Environmental markers,Child fecal markers,Diarrhea,Child growth
Pubmed,((matched [tw]) OR (trial [tw]) OR (RCT [tw]) OR (experiment [tw]) OR (intervention [tw]) OR (randomized [tw]) OR (randomised [tw]) OR (quasi-randomized [tw]) OR (quasi-randomised [tw]) OR (quasi-experimental [tw]) OR (pseudo-randomized [tw]) OR (pseudo-randomised [tw]) OR (“non-randomized controlled trials as topic” [mh]),(Water [tw]) OR (Sanitation [tw]) OR (Hygiene [tw]) OR (Handwashing [tw]) OR (WSH [tw]) OR (,(molecular source tracking [tw]) OR (microbial source tracking [tw]) OR (microbial transmission [tw]) OR (diarrheal pathogen [tw]) OR (diarrheal pathogens [tw]) OR (diarrhoeal pathogen [tw]) OR (diarrhoeal pathogens [tw]) OR (fecal-oral [tw]) OR (faecal-oral [tw]) OR (enteric pathogen [tw]) OR (enteric pathogens [tw]) OR (ruminant* [tw]) OR (avian* [tw]) OR (“Feces” [mh]) OR (Feces [tw]) OR (Faeces [tw]) OR (Fecal [tw]) OR (Faecal [tw]) OR (Fecally [tw]) OR (Faecally [tw]),"(Enteric infection* [tw]) OR (Soil-transmitted helminth* [tw]) OR (Protozoan* [tw]) OR (Seroconversion [tw]) OR (Fecal microbio* [tw]) OR (Faecal microbio* [tw]) OR (Fecal biomarker* [tw]) OR (Faecal biomarker* [tw]) OR (“Intestinal Diseases, Parasitic/epidemiology” [mh]) OR (“Seroconversion” [mh]) OR (Seroconversion [tw]) OR (“Enteritis/epidemiology” [mh]) OR (“Helminthiasis/complications” [mh]) OR (Helminthiasis [tw]) OR (Helminthiases)OR (“Helminthiasis/epidemiology” [mh]) OR (“Helminthiasis/prevention and control” [mh]) OR","(Diarrh* [tw]) OR (Dysentery [tw]) OR (“Diarrhea/epidemiology” [mh]) OR (“Diarrhea/etiology” [mh]) OR (“Diarrhea/prevention and control“ [mh]) OR (“Diarrhea, Infantile” [mh]) OR (“Dysentery“ [mh])",(Child growth faltering [tw]) OR (Growth faltering [tw])OR (Child development [tw]) OR (Length-for-age [tw]) OR (Height-for-age [tw]) OR (Weight-for-age [tw]) OR (Head circumference [tw]) OR (Waist circumference [tw]) OR (Stunt* [tw]) OR (Wasting [tw]) OR (Wasted [tw]) OR (Linear growth [tw]) OR (Anthropometric measurement* [tw]) OR (Maln* [tw]) OR (Undernourish* [tw]) OR (Undernutrition [tw]) OR (Underweight [tw]) OR (“Growth Disorders” [mh]) OR (Growth Disorders [tw]) OR (“Child nutrition disorders” [mh]) OR (Child nutrition disorder* [tw]) OR (“Malnutrition” [mh]) OR (“Wasting Syndrome” [mh]) OR (Wasting syndrome [tw]) OR (“Thinness” [mh]) OR (Thinness [tw]) OR
,,"“Sanitation” [mh]) OR (“Water Supply” [mh]) OR (“Drainage, Sanitary” [mh]) OR (Sanitary Drainage [tw]) OR (“Toilet Facilities” [mh]) OR (“Drinking Water” [mh]) OR (“Hand Hygiene” [mh]) OR (“Water Purification” [mh]) OR (“Waste Water” [mh]) OR (disinfect* [tw])",,(Intestinal infection* [tw]) OR (Viral infection* [tw]) OR,,(Growth velocity [tw])
,,,,(Bacterial infection* [tw]) OR (Parasite infection* [tw]) OR (Parasitic infection* [tw]) OR (Helminth infection* [tw]) OR (Fecal sampling [tw]) OR (Faecal sampling [tw]),,
,,,,OR (Stool sampling [tw]) OR (Stool collection [tw]),,
Embase,"(“matched”:ab,ti,kw OR “trial”:ab,ti,kw OR “RCT”:ab,ti,kw OR “experiment”:ab,ti,kw OR “intervention”:ab,ti,kw OR “randomized”:ab,ti,kw OR “randomised”:ab,ti,kw OR “quasi-randomized”:ab,ti,kw OR “quasi-randomised”:ab,ti,kw OR “quasi-experimental”:ab,ti,kw OR “pseudo-randomized”:ab,ti,kw OR “pseudo-randomised”:ab,ti,kw OR “randomized controlled trial”/exp OR “experimental study”/exp OR “controlled study”/exp OR “quasi experimental study”/exp)","“Water”:ab,ti,kw OR “Sanitation”:ab,ti,kw OR “Hygiene”:ab,ti,kw OR “Piped water”:ab,ti,kw OR “Handwashing”:ab,ti,kw OR “WSH”:ab,ti,kw OR “Sanitation”/exp OR “Water Supply”/exp OR “Drainage, Sanitary”/exp OR “Sanitary Drainage”:ab,ti,kw OR “Toilet Facilities”/exp OR “Drinking Water”/exp OR “Hand Hygiene”/exp OR “Water Purification”/exp OR “Waste Water”/exp OR “disinfect*”:ab,ti,kw OR “hand washing”/exp OR “water quality”/exp OR “Hygiene”/exp","“molecular source tracking”:ab,ti,kw OR “microbial source tracking”:ab,ti,kw OR “microbial transmission”:ab,ti,kw OR “diarrh?eal pathogen?”:ab,ti,kw OR “f?ecal-oral”:ab,ti,kw OR “enteric pathogen?”:ab,ti,kw OR “ruminant*”:ab,ti,kw OR “avian*”:ab,ti,kw OR “feces”/exp OR “f?ecal”:ab,ti,kw OR “f?eces”:ab,ti,kw OR “f?ecally”:ab,ti,kw OR “environmental exposure”/exp OR “contamination”/exp OR “feces analysis”/exp OR “marker gene”/exp OR “bacteroidales”/exp"," “Enteric infection?”:ab,ti,kw OR “Soil-transmitted helminth?”:ab,ti,kw OR “Protozoan?”:ab,ti,kw OR “Seroconversion”:ab,ti,kw OR  “F?ecal microbio*”:ab,ti,kw OR “F?ecal biomarkers”:ab,ti,kw OR “Seroconversion”/exp OR “Seroconversion”:ab,ti,kw OR “Enteritis”/exp/dm_ep OR “Helminthiasis”/exp/dm_co OR “Helminthias?s”:ab,ti,kw OR “Helminthiasis” /exp/dm_ep OR “Helminthiasis”/exp/dm_pc OR","“Diarrh*”:ab,ti,kw OR “Dysentery”:ab,ti,kw OR “Diarrhea”/exp/dm_ep OR “Diarrhea”/exp/dm_et OR “Diarrhea”/exp/dm_pc OR “Feces”/exp OR “Diarrhea, Infantile”/exp OR “Dysentery”/exp","“Child growth”:ab,ti,kw OR “Growth faltering”:ab,ti,kw OR “Child development”:ab,ti,kw OR “Length-for-age”:ab,ti,kw OR “Height-for-age”:ab,ti,kw OR “Weight-for-age”:ab,ti,kw OR “Head circumference”:ab,ti,kw OR “Waist circumference”:ab,ti,kw OR “Stunt*”:ab,ti,kw OR “Wasting”:ab,ti,kw OR “Wasted”:ab,ti,kw OR “Linear growth”:ab,ti,kw OR “Anthropometric measurement?”:ab,ti,kw OR “Maln*”:ab,ti,kw OR “Undernourish*”:ab,ti,kw OR “Undernutrition”:ab,ti,kw OR “Underweight”:ab,ti,kw OR “Growth Disorders”/exp OR “Growth Disorder?”:ab,ti,kw OR “Child nutrition disorder”/exp OR “Child nutrition disorder?”:ab,ti,kw OR “Malnutrition”/exp OR “Wasting Syndrome”/exp OR “Wasting syndrome”:ab,ti,kw OR “Thinness”/exp OR “Thinness”:ab,ti,kw OR"
,,,,"“Intestinal infection?”:ab,ti,kw OR “Viral infection?”:ab,ti,kw OR",,"“Growth velocity”:ab,ti,kw OR “Child nutrition”/exp OR “Child development”/exp OR “nutritional status”/exp OR “infant nutrition disorders”/exp"
,,,,"“Bacterial infection?”:ab,ti,kw OR “Parasite infection?”:ab,ti,kw OR “Parasitic infection?”:ab,ti,kw OR “Helminth infection?”:ab,ti,kw OR “F?ecal sampling”:ab,ti,kw",,
,,,,"OR “Stool sampling”:ab,ti,kw OR “Stool collection”:ab,ti,kw OR “gastrointestinal disease”/exp OR “intestine infection”/exp",,
CAB Global health,"Ab:“matched” OR ab:”trial” OR ab:”RCT” OR ab:”experiment” OR ab:”intervention” OR ab:”randomized” OR ab:”quasi-randomized” OR ab:”quasi-experimental” OR ab:”impact” OR ab:”pseudo-randomized” OR ab:”randomised”  OR ab:”quasi-randomised” OR ab:”pseudo-randomised”title:“matched” OR title:“trial” OR title:“RCT” OR title:“experiment” OR title:“intervention” OR title:“randomized” OR title:“quasi-randomized” OR title:“quasi-experimental” OR title:“impact” OR title:“pseudo-randomized” OR title:”randomised”  OR title:”quasi-randomised” OR title:”pseudo-randomised”OR de:""randomized controlled trials"" OR de:""experimental design"" OR de:”health impact assessment”",ab:”Water” OR ab:”Sanitation” OR ab:”Hygiene” OR ab:”Hand washing” OR ab:”WSH” OR ab:”Sanitary drainage” OR ab:”Toilet Facilities” OR ab:”Hand Hygiene” OR ab:”disinfect*” OR title:”Water” OR title:”Sanitation” OR title:”Hygiene” OR title:”Hand washing” OR title:”WSH” OR title:”Sanitary drainage” OR title:”Toilet Facilities” OR title:”Hand Hygiene” OR title:”disinfect*” OR de:“water quality” OR id:“chlorinated drinking water” OR id:”water composition and quality” OR de:”chlorination” OR de:”drinking water” OR de:”latrine” OR de:”water supply” OR de:“Water treatment”,ab:”molecular source tracking” OR ab:”microbial source tracking” OR ab:”microbial transmission” OR ab:”diarrheal pathogen” OR ab:”diarrhoeal pathogen” OR ab:”diarrheal pathogens” OR ab:”diarrhoeal pathogens” OR ab:”diarrh* pathogen” OR ab:”fecal-oral” OR ab:”faecal-oral” OR ab:”enteric pathogens” OR ab:”ruminant*” OR ab:”avian*”  OR ab:”Feces” OR ab:”Faeces” OR ab:”Fecal” OR ab:”Faecal” OR ab:”Fecally” OR ab:”Faecally” OR title:”molecular source tracking” OR title:”microbial source tracking” OR title:”microbial transmission” OR title:”diarrheal pathogen” OR title:”diarrhoeal pathogen” OR title:”diarrheal pathogens” OR title:”diarrhoeal pathogens” OR title:”fecal-oral” OR title:”faecal-oral” OR title:”enteric pathogens” OR title:”ruminant*” OR title:”avian*” OR title:”Feces” OR title:”Faeces” OR title:”Fecal” OR title:”Faecal” OR title:”Fecally” OR title:”Faecally” OR de:”faeces” OR id:”feces”,ab:“Enteric infection*” OR ab:”Soil-transmitted helminth*” OR ab:”Protozoan*” OR ab:”Fecal microbio*” OR ab:”Faecal microbio*” OR ab:”Fecal biomarker*” OR ab:”Faecal biomarker*” OR ab:”Intestinal Disease*” OR ab:”Seroconversion” OR ab:”Enteritis” OR ab:”Helminthiasis” OR ab:“Intestinal infection*” OR ab:”Viral infection*” OR ab:“Bacterial infection*” OR ab:”Parasite infection*” OR ab:”Parasitic infection*” OR ab:”Helminth infection*” OR ab:”Fecal sampling” OR ab:”Faecal sampling”,ab:”diarrh*” OR ab:”Dysentery” OR title:”diarrh*” OR title:”Dysentery” OR id:”diarrhea” OR de:”diarrhea”,ab:“Child growth” OR ab:”Growth faltering” OR ab:”Child development” OR ab:”Length-for-age” OR ab:”Height-for-age” OR ab:”Weight-for-age” OR ab:”Head circumference” OR ab:”Waist circumference” OR ab:”Stunt*” OR ab:”Wasting” OR ab:”Wasted” OR ab:”Linear growth” OR ab:”Anthropometric measurement*” OR ab:”Maln*” OR ab:”Undernourish*” OR ab:”Undernutrition” OR ab:”Underweight” OR ab:”Growth Disorder*” OR ab:“child nutrition disorder*” OR ab:”Malnutrition” OR ab:”Wasting Syndrome” OR ab:”Thinness” OR ab:“Growth velocity” OR ab:”Acute malnutrition” OR title:“Child growth” OR title:”Growth faltering” OR title:”Child development” OR title:”Length-for-age” OR title:”Height-for-age” OR title:”Weight-for-age” OR title:”Head circumference” OR title:”Waist circumference” OR title:”Stunt*” OR title:”Wasting” OR title:”Wasted” OR title:”Linear growth” OR title:”Anthropometric measurement*” OR title:”Maln*” OR title:”Undernourish*” OR title:”Undernutrition” OR title:”Underweight” OR title:”Growth Disorder*” OR title:“Child nutrition disorder*” OR title:”Malnutrition” OR title:”Wasting Syndrome” OR title:”Thinness” OR title:“Growth velocity” OR title:”Acute malnutrition”OR de:”child development” OR de:”growth” OR de:”arm circumference” OR de:“child development” OR id:”mid-upper-arm circumference” OR de:”anthropometric dimensions”
,,,OR de:”biological indicators” OR de:“contamination” OR de:”indicator species” OR de:”microbial contamination” OR de:”marker genes” OR de:“microbiological techniques”,OR ab:”Stool examination” OR ab:”Stool sampling” OR ab:”Stool collection” OR title:“Enteric infection*” OR title:”Soil-transmitted helminth*” OR title:”Protozoan*” OR title:”Seroconversion” OR title:”Fecal microbio*” OR title:”Faecal microbio*” OR title:”Fecal biomarker*” OR title:”Faecal biomarker*” OR title:”Intestinal Disease*” OR title:”Enteritis” OR title:”Helminthiasis” OR title:“Intestinal infection*” OR title:”Viral infection*” OR title:“Bacterial infection*” OR title:”Parasite infection*” OR title:”Parasitic infection*” OR title:”Helminth infection*” OR title:”Fecal sampling” OR title:”Faecal sampling”,,
,,,,OR title:”Stool examination” OR title:”Stool sampling” OR title:”Stool collection” OR de:”faecal examination” OR de:”helminthoses” OR de:”helminths” OR de:”parasites” OR de:“parasitoses” OR de:”intestinal microorganisms” OR de:“diarrhoeagenic E. coli” OR de:“Diarrhoeagenic Escherichia coli“,,
Web of Science,TS=((“matched”) OR (“trial”) OR (“RCT”) OR (“experiment”) OR (“intervention”) OR (“randomized”) OR (“randomised”) OR (“quasi-randomized”) OR (“quasi-randomised”) OR (“quasi-experimental”) OR (“pseudo-randomized”) OR (“pseudo-randomised”)),TS=((“Water”) OR (“Sanitation”) OR (“Hygiene”) OR (“Handwashing”) OR (“WSH”) OR (“Sanitary Drainage”) OR (“disinfect*”)),TS=((“molecular source tracking”) OR (“microbial source tracking”) OR (“microbial transmission”) OR (“diarrh$eal pathogen”) OR (“diarrh$eal pathogens”) OR (“f$ecal-oral”) OR (“enteric pathogen$”) OR (“ruminant*”) OR (“avian*”) OR (“f$ecal”) OR (“f$eces”) OR (“f$ecally”)),TS=((“Enteric infection$”) OR (“Soil-transmitted helminth$”) OR (“Protozoan$”) OR (“Seroconversion”) OR (“F$ecal microbio*”) OR (“F$ecal biomarker”) OR (“F$ecal biomarkers”)  OR (“Seroconversion”) OR (“Helminthias$s”) OR (“Intestinal infection$”) OR (“Viral infection$”) OR,OR (“Diarrh*”) OR (“Dysentery”),OR (“Child growth”) OR (“Growth faltering”)OR (“Child development”) OR (“Length-for-age”) OR (“Height-for-age”) OR (“Weight-for-age”) OR (“Head circumference”) OR (“Waist circumference”) OR (“Stunt*”) OR (“Wasting”) OR (“Wasted”) OR (“Linear growth”) OR (“Anthropometric measurement$”) OR (“Maln*”) OR (“Undernourish*”) OR (“Undernutrition”) OR (“Underweight”) OR (“Growth Disorders”) OR (“Child nutrition disorder$”) OR (“Wasting syndrome”) OR (“Thinness”) OR
,,,,(“Bacterial infection$”) OR (“Parasite infection$”) OR (“Parasitic infection$”) OR (“Helminth infection$”) OR (“F$ecal sampling”),,(“Growth velocity”))
,,,,OR (“Stool sampling”) OR (“Stool collection”) OR (“Enteritis”),,
Agricultural & Environmental Science Database,"AB,TI,IF(“matched”) OR AB,TI,IF(“trial”) OR AB,TI,IF(“RCT”) OR AB,TI,IF(“experiment”) OR AB,TI,IF(“intervention”) OR AB,TI,IF(“randomized”) OR AB,TI,IF(“randomised”) OR AB,TI,IF(“quasi-randomized”) OR AB,TI,IF(“quasi-randomised”) OR AB,TI,IF(“quasi-experimental”) OR AB,TI,IF(“pseudo-randomized”) OR AB,TI,IF(“pseudo-randomised”) OR SU(“Randomized controlled trials”) OR SU(“Randomized”)","AB,TI,IF(“Water”) OR AB,TI,IF(“Sanitation”) OR AB,TI,IF(“Hygiene”) OR AB,TI,IF(“Handwashing”) OR AB,TI,IF(“WSH”) OR AB,TI,IF(“Sanitary Drainage”) OR AB,TI,IF(“disinfect*”) OR SU(“Sanitation”) OR SU(“Water treatment”) OR SU(“Hygiene”) OR SU(“Drinking water”) OR SU(“Groundwater”)","AB,TI,IF(“molecular source tracking”) OR AB,TI,IF(“microbial source tracking”) OR AB,TI,IF(“microbial transmission”) OR AB,TI,IF(“diarrheal pathogen?”) OR AB,TI,IF(“diarrhoeal pathogen?”) OR AB,TI,IF(“enteric pathogen?”) OR AB,TI,IF(“ruminant*”) OR AB,TI,IF(“avian*”)","AB,TI,IF(“Enteritis”) OR AB,TI,IF(“Enteric infection?”) OR AB,TI,IF(“Soil-transmitted helminth?”) OR AB,TI,IF(“Protozoan?”) OR AB,TI,IF(“Seroconversion”) OR AB,TI,IF(“Fecal microbiological”) OR AB,TI,IF(“Fecal microbiology”) OR AB,TI,IF(“Fecal microbiota”) OR AB,TI,IF(“Faecal microbiota”) OR AB,TI,IF(“Faecal microbiological”) OR AB,TI,IF(“Faecal microbiology”) OR AB,TI,IF(“Fecal biomarker?”) OR AB,TI,IF(“Faecal biomarker”) OR AB,TI,IF(“Faecal biomarkers”) OR AB,TI,IF(“Helminthias?s”) OR","AB,TI,IF(“Diarrh*”) OR AB,TI,IF(“Dysentery”) OR SU(“Diarrhea”)","AB,TI,IF(“Child growth”) OR AB,TI,IF(“Growth faltering”) OR AB,TI,IF(“Child development”) OR AB,TI,IF(“Length-for-age”) OR AB,TI,IF(“Height-for-age”) OR AB,TI,IF(“Weight-for-age”) OR AB,TI,IF(“Head circumference”) OR AB,TI,IF(“Waist circumference”) OR AB,TI,IF(“Stunt*”) OR AB,TI,IF(“Wasting”) OR AB,TI,IF(“Wasted”) OR AB,TI,IF(“Linear growth”) OR AB,TI,IF(“Anthropometric measurement”) OR AB,TI,IF(“Anthropometric measurements”) OR AB,TI,IF(“Maln*”) OR AB,TI,IF(“Undernourish*”) OR AB,TI,IF(“Undernutrition”) OR AB,TI,IF(“Underweight”) OR AB,TI,IF(“Growth Disorder”) OR AB,TI,IF(“Growth Disorders”) OR AB,TI,IF(“Child nutrition disorder”) OR AB,TI,IF(“Child nutrition disorders”) OR AB,TI,IF(“Wasting syndrome”) OR AB,TI,IF(“Thinness”) OR"
,,,"OR AB,TI,IF(“f?ec????”) OR SU(“Contamination”) OR SU(“Environmental assessment”) OR SU(“environmental conditions”)","AB,TI,IF(“Intestinal infection”) OR AB,TI,IF(“Intestinal infections”) OR AB,TI,IF(“Viral infection”) OR AB,TI,IF(“Viral infections”) OR",,"AB,TI,IF(“Growth velocity”) OR SU(“Underweight”) OR SU(“Weight”) OR SU(“Physical growth”) OR SU(“Growth disorders”) OR SU(“Malnutrition”)"
,,,,"AB,TI,IF(“Bacterial infection”) OR AB,TI,IF(“Bacterial infections”) OR AB,TI,IF(“Parasite infection”) OR AB,TI,IF(“Parasite infections”) OR AB,TI,IF(“Parasitic infection”) OR AB,TI,IF(“Parasitic infections”) OR AB,TI,IF(“Helminth infection”) OR AB,TI,IF(“Helminth infections”) OR AB,TI,IF(“Fecal sampling”) OR AB,TI,IF(“Faecal sampling”) OR AB,TI,IF(“Stool sampling”) OR AB,TI,IF(“Stool collection”) OR SU(“Bacterial infections”) OR SU(“Viral infections”) OR SU(“Parasitic diseases”)",,
Scopus,TITLE-ABS-KEY(“matched”) OR TITLE-ABS-KEY(“trial”) OR TITLE-ABS-KEY(“RCT”) OR TITLE-ABS-KEY(“experiment”) OR TITLE-ABS-KEY(“intervention”) OR TITLE-ABS-KEY(“randomi*ed”) OR TITLE-ABS-KEY(“quasi-randomi*ed”) OR TITLE-ABS-KEY(“quasi-experimental”) OR TITLE-ABS-KEY(“pseudo-randomi*ed”),TITLE-ABS-KEY(“Water”) OR TITLE-ABS-KEY(“Sanitation”) OR TITLE-ABS-KEY(“Hygiene”) OR TITLE-ABS-KEY(“Handwashing”) OR TITLE-ABS-KEY(“WSH”) OR TITLE-ABS-KEY(“Sanitary Drainage”) OR TITLE-ABS-KEY(“disinfect*”),TITLE-ABS-KEY(“molecular source tracking”) OR TITLE-ABS-KEY(“microbial source tracking”) OR TITLE-ABS-KEY(“microbial transmission”) OR TITLE-ABS-KEY(“diarrh*eal pathogen”) OR TITLE-ABS-KEY(“f*ecal-oral”) OR TITLE-ABS-KEY(“enteric pathogen”) OR TITLE-ABS-KEY(“ruminant*”) OR TITLE-ABS-KEY(“avian*”) OR TITLE-ABS-KEY(“f*ecal”) OR TITLE-ABS-KEY (“f*eces”) OR TITLE-ABS-KEY (“f*ecally”),TITLE-ABS-KEY(“Enteric infection”) OR TITLE-ABS-KEY(“Soil-transmitted helminth”) OR TITLE-ABS-KEY(“Protozoan”) OR TITLE-ABS-KEY(“Seroconversion”) OR TITLE-ABS-KEY(“F*ecal microbio*”) OR TITLE-ABS-KEY(“F*ecal biomarker”) OR TITLE-ABS-KEY(“Seroconversion”) OR TITLE-ABS-KEY(“Helminthiasis”) OR,TITLE-ABS-KEY(“Diarrh*”) OR TITLE-ABS-KEY(“Dysentery”),TITLE-ABS-KEY(“Child growth”) OR TITLE-ABS-KEY(“Growth faltering”) OR TITLE-ABS-KEY(“Child development”) OR TITLE-ABS-KEY(“Length-for-age”) OR TITLE-ABS-KEY(“Height-for-age”) OR TITLE-ABS-KEY(“Weight-for-age”) OR TITLE-ABS-KEY(“Head circumference”) OR TITLE-ABS-KEY(“Waist circumference”) OR TITLE-ABS-KEY(“Stunt*”) OR TITLE-ABS-KEY(“Wasting”) OR TITLE-ABS-KEY(“Wasted”) OR TITLE-ABS-KEY(“Linear growth”) OR TITLE-ABS-KEY(“Anthropometric measurement”) OR TITLE-ABS-KEY(“Maln*”) OR TITLE-ABS-KEY(“Undernourish*”) OR TITLE-ABS-KEY(“Undernutrition”) OR TITLE-ABS-KEY(“Underweight”) OR TITLE-ABS-KEY(“Growth Disorder”) OR TITLE-ABS-KEY(“Child nutrition disorder”) OR TITLE-ABS-KEY(“Wasting syndrome”) OR TITLE-ABS-KEY(“Thinness”) OR
,,,,TITLE-ABS-KEY(“Intestinal infection”) OR TITLE-ABS-KEY(“Viral infection”) OR,,TITLE-ABS-KEY(“Growth velocity”)
,,,,TITLE-ABS-KEY(“Bacterial infection”) OR TITLE-ABS-KEY(“Parasite infection”) OR TITLE-ABS-KEY(“Parasitic infection”) OR TITLE-ABS-KEY(“Helminth infection”) OR TITLE-ABS-KEY(“F*ecal sampling”),,
,,,,OR TITLE-ABS-KEY(“Stool sampling”) OR TITLE-ABS-KEY(“Stool collection”),,
,,,,,,
